1 look ahead 2 child
Turn num: 256859326   Lines cleared: 102743713
Turn num: 9490991   Lines cleared: 3796379
Turn num: 39035512   Lines cleared: 15614187
Turn num: 8288740   Lines cleared: 3315479
Turn num: 4440850   Lines cleared: 1776323
Turn num: 72247897   Lines cleared: 28899141
Turn num: 64958091   Lines cleared: 25983219
Turn num: 105969516   Lines cleared: 42387789
Turn num: 84383187   Lines cleared: 33753257
Turn num: 66097057   Lines cleared: 26438805
Turn num: 50670204   Lines cleared: 20268064
Turn num: 144985756   Lines cleared: 57994285
Turn num: 46183177   Lines cleared: 18473253
Turn num: 85060543   Lines cleared: 34024200
Turn num: 57102884   Lines cleared: 22841136
Turn num: 77247594   Lines cleared: 30899020
Turn num: 9682564   Lines cleared: 3873008
Turn num: 13302616   Lines cleared: 5321029
Turn num: 45076543   Lines cleared: 18030600
Turn num: 146192439   Lines cleared: 58476958
Turn num: 41240323   Lines cleared: 16496112
Turn num: 17777449   Lines cleared: 7110962
Turn num: 101892116   Lines cleared: 40756829
Turn num: 241662578   Lines cleared: 96665015
Turn num: 8460040   Lines cleared: 3383999
Turn num: 87984311   Lines cleared: 35193707
Turn num: 22104227   Lines cleared: 8841673
Turn num: 53000000  Lines cleared: 2119999
