Round: 0
Turn num: 0   Lines cleared: 0
Turn num: 100000   Lines cleared: 39996
Turn num: 200000   Lines cleared: 79996
Turn num: 300000   Lines cleared: 119999
Turn num: 400000   Lines cleared: 159999
Turn num: 500000   Lines cleared: 199998
Turn num: 600000   Lines cleared: 239998
Turn num: 700000   Lines cleared: 279997
Turn num: 800000   Lines cleared: 319998
Turn num: 900000   Lines cleared: 359999
Turn num: 1000000   Lines cleared: 399999
Turn num: 1100000   Lines cleared: 439999
Turn num: 1200000   Lines cleared: 479998
Turn num: 1300000   Lines cleared: 519998
Turn num: 1400000   Lines cleared: 559994
Turn num: 1500000   Lines cleared: 599999
Turn num: 1600000   Lines cleared: 639998
Turn num: 1700000   Lines cleared: 679998
Turn num: 1800000   Lines cleared: 719998
Turn num: 1900000   Lines cleared: 759999
Turn num: 2000000   Lines cleared: 799999
Turn num: 2100000   Lines cleared: 839997
Turn num: 2200000   Lines cleared: 879996
Turn num: 2300000   Lines cleared: 919998
Turn num: 2400000   Lines cleared: 959998
Turn num: 2500000   Lines cleared: 999998
Turn num: 2600000   Lines cleared: 1039999
Turn num: 2700000   Lines cleared: 1079998
Turn num: 2800000   Lines cleared: 1119999
Turn num: 2900000   Lines cleared: 1159998
Turn num: 3000000   Lines cleared: 1199999
Turn num: 3100000   Lines cleared: 1239997
Turn num: 3200000   Lines cleared: 1279998
Turn num: 3300000   Lines cleared: 1319997
Turn num: 3400000   Lines cleared: 1359995
Turn num: 3500000   Lines cleared: 1399999
Turn num: 3600000   Lines cleared: 1439999
Turn num: 3700000   Lines cleared: 1479998
Turn num: 3800000   Lines cleared: 1519996
Turn num: 3900000   Lines cleared: 1559997
Turn num: 4000000   Lines cleared: 1599997
Turn num: 4100000   Lines cleared: 1639999
Turn num: 4200000   Lines cleared: 1679997
Turn num: 4300000   Lines cleared: 1719998
Turn num: 4400000   Lines cleared: 1759995
Turn num: 4500000   Lines cleared: 1799999
Turn num: 4600000   Lines cleared: 1839995
Turn num: 4700000   Lines cleared: 1879997
Turn num: 4800000   Lines cleared: 1919998
Turn num: 4900000   Lines cleared: 1959999
Turn num: 5000000   Lines cleared: 1999999
Turn num: 5100000   Lines cleared: 2039998
Turn num: 5200000   Lines cleared: 2079998
Turn num: 5300000   Lines cleared: 2119998
Turn num: 5400000   Lines cleared: 2159998
Turn num: 5500000   Lines cleared: 2199999
Turn num: 5600000   Lines cleared: 2239997
Turn num: 5700000   Lines cleared: 2279999
Turn num: 5800000   Lines cleared: 2319996
Turn num: 5900000   Lines cleared: 2359998
Turn num: 6000000   Lines cleared: 2399997
Turn num: 6100000   Lines cleared: 2439999
Turn num: 6200000   Lines cleared: 2479998
Turn num: 6300000   Lines cleared: 2519999
Turn num: 6400000   Lines cleared: 2559998
Turn num: 6500000   Lines cleared: 2599997
Turn num: 6600000   Lines cleared: 2639999
Turn num: 6700000   Lines cleared: 2679998
Turn num: 6800000   Lines cleared: 2719999
Turn num: 6900000   Lines cleared: 2759998
Turn num: 7000000   Lines cleared: 2799998
Turn num: 7100000   Lines cleared: 2839996
Turn num: 7200000   Lines cleared: 2879994
Turn num: 7300000   Lines cleared: 2919998
Turn num: 7400000   Lines cleared: 2959998
Turn num: 7500000   Lines cleared: 2999998
Turn num: 7600000   Lines cleared: 3039998
Turn num: 7700000   Lines cleared: 3079998
Turn num: 7800000   Lines cleared: 3119999
Turn num: 7900000   Lines cleared: 3159996
Turn num: 8000000   Lines cleared: 3199995
Turn num: 8100000   Lines cleared: 3239996
Turn num: 8200000   Lines cleared: 3279997
Turn num: 8300000   Lines cleared: 3319998
Turn num: 8400000   Lines cleared: 3359999
Turn num: 8500000   Lines cleared: 3399998
Turn num: 8600000   Lines cleared: 3439999
