no look ahead
Turn num: 1857899   Lines cleared: 743142
Turn num: 2932907   Lines cleared: 1173145
Turn num: 1656762   Lines cleared: 662687
Turn num: 1144955   Lines cleared: 457965
Turn num: 465844   Lines cleared: 186320
Turn num: 387459   Lines cleared: 154966
Turn num: 480285   Lines cleared: 192097
Turn num: 1090354   Lines cleared: 436124
Turn num: 102452   Lines cleared: 40963
Turn num: 209680   Lines cleared: 83855
Turn num: 169974   Lines cleared: 67972
Turn num: 342   Lines cleared: 119
Turn num: 188182   Lines cleared: 75255
Turn num: 233924   Lines cleared: 93552
Turn num: 183348   Lines cleared: 73322
Turn num: 73090   Lines cleared: 29218
Turn num: 299337   Lines cleared: 119717
Turn num: 359154   Lines cleared: 143644
Turn num: 801   Lines cleared: 303
Turn num: 384586   Lines cleared: 153817
Turn num: 335549   Lines cleared: 134202
Turn num: 996550   Lines cleared: 398604
Turn num: 448618   Lines cleared: 179430
Turn num: 660128   Lines cleared: 264034
Turn num: 1317106   Lines cleared: 526825
Turn num: 180992   Lines cleared: 72379
Turn num: 692914   Lines cleared: 277148
Turn num: 769010   Lines cleared: 307587
Turn num: 876760   Lines cleared: 350686
Turn num: 45849   Lines cleared: 18322
Turn num: 231040   Lines cleared: 92398
Turn num: 1664230   Lines cleared: 665675
Turn num: 178176   Lines cleared: 71253
Turn num: 731390   Lines cleared: 292538
Turn num: 175758   Lines cleared: 70286
Turn num: 3335734   Lines cleared: 1334276
Turn num: 72796   Lines cleared: 29101
Turn num: 1376324   Lines cleared: 550512
Turn num: 564077   Lines cleared: 225613
Turn num: 1248933   Lines cleared: 499556
Turn num: 86923   Lines cleared: 34752
Turn num: 137617   Lines cleared: 55029
Turn num: 1263555   Lines cleared: 505404
Turn num: 681479   Lines cleared: 272574
Turn num: 286034   Lines cleared: 114396
Turn num: 2032160   Lines cleared: 812847
Turn num: 35988   Lines cleared: 14378
Turn num: 895217   Lines cleared: 358069
Turn num: 940056   Lines cleared: 376005
Turn num: 1104498   Lines cleared: 441781
Turn num: 315594   Lines cleared: 126220
Turn num: 233294   Lines cleared: 93300
Turn num: 294403   Lines cleared: 117744
Turn num: 1621169   Lines cleared: 648450
Turn num: 1266892   Lines cleared: 506739
Turn num: 946991   Lines cleared: 378779
Turn num: 688430   Lines cleared: 275355
Turn num: 13147   Lines cleared: 5241
Turn num: 1758296   Lines cleared: 703301
Turn num: 503024   Lines cleared: 201192
Turn num: 1516883   Lines cleared: 606735
Turn num: 3865   Lines cleared: 1528
Turn num: 2026584   Lines cleared: 810616
Turn num: 248410   Lines cleared: 99347
Turn num: 1518984   Lines cleared: 607576
Turn num: 76231   Lines cleared: 30475
Turn num: 3762882   Lines cleared: 1505135
Turn num: 342549   Lines cleared: 137002
Turn num: 726768   Lines cleared: 290690
Turn num: 120501   Lines cleared: 48183
Turn num: 4226122   Lines cleared: 1690431
Turn num: 172439   Lines cleared: 68958
Turn num: 93834   Lines cleared: 37516
Turn num: 1402205   Lines cleared: 560864
Turn num: 32900   Lines cleared: 13143
Turn num: 2712019   Lines cleared: 1084790
Turn num: 1144135   Lines cleared: 457637
Turn num: 641163   Lines cleared: 256448
Turn num: 999198   Lines cleared: 399662
Turn num: 1086708   Lines cleared: 434665
Turn num: 659549   Lines cleared: 263802
Turn num: 827689   Lines cleared: 331058
Turn num: 1851889   Lines cleared: 740738
Turn num: 61866   Lines cleared: 24729
Turn num: 398531   Lines cleared: 159395
Turn num: 135244   Lines cleared: 54080
Turn num: 271672   Lines cleared: 108651
Turn num: 63257   Lines cleared: 25286
Turn num: 986385   Lines cleared: 394536
Turn num: 575891   Lines cleared: 230339
Turn num: 218357   Lines cleared: 87325
Turn num: 910152   Lines cleared: 364043
Turn num: 859381   Lines cleared: 343735
Turn num: 115751   Lines cleared: 46283
Turn num: 3880700   Lines cleared: 1552262
Turn num: 149739   Lines cleared: 59878
Turn num: 476927   Lines cleared: 190753
Turn num: 161602   Lines cleared: 64623
Turn num: 1025379   Lines cleared: 410134
Turn num: 1418900   Lines cleared: 567542
